BLZ;Belize;Belize;Belize;;Belize;;;;;;;;;x;;;;
BNX;Benelux;Benelux;Benelux;;Benelux;;;;;;;;;x;;;;
ABK;Abkhazia;Abkhazia;Abkhazia;;Abkhazia;;;;;;;;;x;;;;
HNG;Hong Kong;Hong Kong;Hong Kong;;Hong Kong;;;;;;;;;x;;;;
MCU;Macau;Macau;Macau;;Macau;;;;;;;;;x;;;;
BLZ_ADJ;Belizean;Belizean;Belizean;;Belizean;;;;;;;;;x;;;;
BNX_ADJ;Beneluxian;Beneluxian;Beneluxian;;Beneluxian;;;;;;;;;x;;;;
ABK_ADJ;Abkhazian;Abkhazian;Abkhazian;;Abkhazian;;;;;;;;;x;;;;
HNG_ADJ;Hong Konger;Hong Konger;Hong Konger;;Hong Konger;;;;;;;;;x;;;;
MCU_ADJ;Macanese;Macanese;Macanese;;Macanese;;;;;;;;;x;;;;
abkhaz;Abkhaz;Abkhaz;Abkhaz;;Abkhaz;;;;;;;;;x;;;;
form_benelux_title;Form Benelux;Form Benelux;Form Benelux;;;;;;;;;;;;x;;;;;;;;;;;;;;
form_benelux_desc;While originally an economic union, there are certainly obvious benefits if we can take such union to another level, but it would require us complete control over the other states and a good position in the international community.;While originally an economic union, there are certainly obvious benefits if we can take such union to another level, but it would require us complete control over the other states and a good position in the international community.;While originally an economic union, there are certainly obvious benefits if we can take such union to another level, but it would require us complete control over the other states and a good position in the international community.;;;;;;;;;;;;x;;;;;;;;;;;;;
